,CONDITION,sent_id,TARGET_WORD,SENTENCE,ITEM_ID,Plausibility,Connective
0,PLAUS_NOCONN,1.0,咬,张敏买了一只德国牧羊犬。这条狗脾气不定，而且很凶猛它咬伤了她的手。,1,1,0
1,IMPLAUS_NOCONN,2.0,紧张,王强急忙跑回了餐厅。幸好，他在桌子底下找到了自己的钱包。他紧张了整整一天的时间。,2,0,0
2,IMPLAUS_CONN,3.0,撞破,李娜把她的购物车推过洞坑。鸡蛋在袋子里滚。但是，它们还是撞破了纸箱。,3,0,1
3,PLAUS_CONN,4.0,雨伞,天看上去有些阴沉沉的。太阳一下子就升起来了。但是，王希还是从包裹拿出了雨伞遮雨。,4,1,1
4,PLAUS_NOCONN,5.0,饿,刘伟正在看着家。他完全忘记了给猫喂食。到了周末，它饿死了。,5,1,0
5,IMPLAUS_NOCONN,6.0,改善,失明的妇女接受了手术。医生对手术结果非常失望。第二天，她的视力改善了。,6,0,0
6,IMPLAUS_CONN,7.0,受伤,狗跑进了一条繁忙的街道。汽车超速行驶撞到了他。但是，这条狗还是受伤很严重。,7,0,1
7,PLAUS_CONN,8.0,庆祝,孙艳周一参加了历史考试。她参加了考试，但没有通过。但是，她还是回到家庆祝自己考得好。,8,1,1
8,PLAUS_NOCONN,9.0,枯萎,这家人周末出城了。保姆完全忘记了给植物浇水。植物枯萎了，然后整个变成棕色。,9,1,0
9,IMPLAUS_NOCONN,10.0,掌声,这位明星在音乐剧中独唱。她唱得很糟糕而且走调。观众为她响起的掌声非常热烈。,10,0,0
10,IMPLAUS_CONN,11.0,哭,刘婷是学校里的新生。其他孩子开始取笑她。但是，她还是在一天结束时哭起来了。,11,0,1
11,PLAUS_CONN,12.0,难过,赵娟在周二进行了一次测试。她获得了最高分。但是，她心里还是感到难过极了。,12,1,1
12,PLAUS_NOCONN,13.0,监禁,市政府官员被带上法庭。法官作出了不利于他们的裁决。他们立即被法官处以监禁了。,13,1,0
13,IMPLAUS_NOCONN,14.0,穷,周杰又往老虎机里投了一枚硬币。他不断试并赢了大奖。到最后他穷得连一分钱都没了。,14,0,0
14,IMPLAUS_CONN,15.0,开心,刘颖和李鹏在赌场赌博。他们赢了每一局赌局。但是，那天晚上他们还是开心极了。,15,0,1
15,PLAUS_CONN,16.0,痒,潘悦去露营度假。她用了一种很好的驱蚊剂。但是，她痒的感觉布满全身。,16,1,1
16,PLAUS_NOCONN,17.0,签,一位招聘人员来看李洋打棒球。他投得很好。他最后被球队签下了。,17,1,0
17,IMPLAUS_NOCONN,18.0,脏,隐士住在一个山洞里。他每天都在山间小溪里洗澡。他的头发看起来又脏又乱。,18,0,0
18,IMPLAUS_CONN,19.0,周,方磊需要2.5的平均分才能毕业。他了解到他的已经很高了。但是，他还会在下周和同学一起毕业入社会。,19,0,1
19,PLAUS_CONN,20.0,瘦,周涛有进食困难的问题。他停不下来吃东西。但是，不久以后，他还是瘦了很多。,20,1,1
20,PLAUS_NOCONN,21.0,抓,窃贼表现得笨拙，他不小心让警报响起来了。他因此被警卫抓起来了。,21,1,0
21,IMPLAUS_NOCONN,22.0,绊,周勇每天都会去慢跑。路是刚刚铺好的。他被绊了一下然后摔倒了。,22,0,0
22,IMPLAUS_CONN,23.0,减少,那年电话公司遇到了财务问题。它失去了许多客户。但是，此后不久，利润还是减少了很多。,23,0,1
23,PLAUS_CONN,24.0,担心,刘斌成绩很好，在学校从未惹麻烦。他总是很开朗，有很多朋友。但是，他的父母还是很担心他。,24,1,1
24,PLAUS_NOCONN,25.0,结束,两国多年来一直处于战争状态。领导人同意签署停火协议。不久后，两国的冲突终于结束了。,25,1,0
25,IMPLAUS_NOCONN,26.0,倒闭,该餐厅获得了人们极好的评价。它总是没有空余的座位。它在五月的时候倒闭了。,26,0,0
26,IMPLAUS_CONN,27.0,扔,牛奶已经放了一个多星期了。黄欣觉得它尝起来很酸。但是，她还是把它扔了出去。,27,0,1
27,PLAUS_CONN,28.0,拒绝,吴莉的男朋友给她带来了一些巧克力冰淇淋。这是她最爱的味道。但是，她还是拒绝了这份礼物。,28,1,1
28,PLAUS_NOCONN,29.0,喝彩,这位著名的钢琴家对她的演奏很有信心。她把这曲子弹得特别好。每个人都为她喝彩不断。,29,1,0
29,IMPLAUS_NOCONN,30.0,戳,女裁缝正在用别针别托比的西装。她别别针非常小心。赵伟被她戳了几下。,30,0,0
30,IMPLAUS_CONN,31.0,杂草,赵丹在后院有一个花园。她从未花太多时间照料它。但是，里面还是满是杂草和垃圾。,31,0,1
31,PLAUS_CONN,32.0,失望,体操运动员专门研究平衡木。她完美地完成了她的第一个动作。但是，她还是对自己失望极了。,32,1,1
32,PLAUS_NOCONN,33.0,负面,公司聘请了一名新员工。这位新员工懒惰而低效。他那个季度获得了负面的业绩评价。,33,1,0
33,IMPLAUS_NOCONN,34.0,禁足,王浩的父母发现他打算要戒烟。他们感到非常激动。他被禁足了一个星期的时间。,34,0,0
34,IMPLAUS_CONN,35.0,训斥,孩子和他父母一起参观博物馆。他伸手去摸一些艺术品。但是，博物馆警卫还是训斥了他。,35,0,1
35,PLAUS_CONN,36.0,升职,软件工程师的想法已经在新产品中实现了。结果不受欢迎。但是，他还是在公司升职了。,36,1,1
36,PLAUS_NOCONN,37.0,宿醉,那是大型足球比赛的日子。那天晚上赵阳喝了很多啤酒。第二天早上，他醒来觉得宿醉很难受。,37,1,0
37,IMPLAUS_NOCONN,38.0,被捕,州长遭到了他人的谋杀。犯罪现场全部都是他儿子的指纹。他的妻子立即被警察拘捕了。,38,0,0
38,IMPLAUS_CONN,39.0,生气,出租车载着乘客前往机场。乘客没有付钱就跳下了车。但是，出租车司机还是感到生气极了。,39,0,1
39,PLAUS_CONN,40.0,倒地,竞技场上进行了一场拳击比赛。一个人的拳头没有打中对方。但是，对方还是倒在地上起不来。,40,1,1
40,PLAUS_NOCONN,41.0,孤独,胡刚一个人在家待了整整一星期。他没有接到任何电话。那一个星期，他感到孤独极了。,41,1,0
41,IMPLAUS_NOCONN,42.0,注销,张秀记得她把信用卡忘在哪里了。她确定那在她的卧室某处。她立即注销了这个信用卡账户。,42,0,0
42,IMPLAUS_CONN,43.0,取消,吴倩本应在那周晚些时候去海岛度假。一场大飓风袭击了这个岛。但是，她的行程还是立即取消了。,43,0,1
43,PLAUS_CONN,44.0,蜡烛,暴风雨过后，城市的电力系统恢复了。餐厅的灯又亮了起来。但是，服务员还是把蜡烛拿到桌子上。,44,1,1
44,PLAUS_NOCONN,45.0,庆祝,张博将他的最后一支飞镖投向了棋盘。投掷是准确的。他开始庆祝自己优秀的表现。,45,1,0
45,IMPLAUS_NOCONN,46.0,开心,赵平迫切地想去哈佛。周二，他在邮件中收到了一封拒绝信。他一整天都感到开心极了。,46,0,0
46,IMPLAUS_CONN,47.0,累,这个女人身材走样，有点胖胖的。她不得不爬二十层楼梯。但是，她还是累得满头都是汗。,47,0,1
47,PLAUS_CONN,48.0,慌,胡莎在今天参加了历史考试。她知道每一个问题的答案。但是，她还是说到一半就慌了。,48,1,1
48,PLAUS_NOCONN,49.0,紧张,谭晶刚刚开始学习驾驶汽车。她最近出了交通事故。她在路上行驶感到紧张极了。,49,1,0
49,IMPLAUS_NOCONN,50.0,罢工,工会正在进行合同谈判。谈判成功，员工感到很满意。第二天员工们集体罢工不干了。,50,0,0
50,IMPLAUS_CONN,51.0,骄傲,男孩乘坐滑雪缆车到山顶。随后他一路滑下来。但是，他还是感到骄傲又开心。,51,0,1
51,PLAUS_CONN,52.0,感染,李斯在一家医院的接待处工作。他总是戴着乳胶手套。但是，他还是被一个病人感染了。,52,1,1
52,PLAUS_NOCONN,53.0,拒绝,胡杰申请了一所法学院。他的成绩很差，推荐信也很一般。学校最终决定拒绝他的申请。,53,1,0
53,IMPLAUS_NOCONN,54.0,酸,一天下午，王婷正在做柠檬水。她加的糖比食谱多。每个人都觉得酸得难以忍受。,54,0,0
54,IMPLAUS_CONN,55.0,吓,周芳的朋友带她去看电影。那是一部恐怖电影。但是，她还是被这部电影吓坏了。,55,0,1
55,PLAUS_CONN,56.0,赶出,唐娜是个好房客。她总是按时给房东付房租。但是，房东还是将她赶出了大楼。,56,1,1
56,PLAUS_NOCONN,57.0,喝倒彩,那个喜剧演员那天晚上很紧张。他表现得很糟糕。观众向他喝倒彩起来了。,57,1,0
57,IMPLAUS_NOCONN,58.0,拘留,一名乘客在机场过安检。保安没有发现他有任何可疑的。这名乘客被当作恐怖分子拘留了。,58,0,0
58,IMPLAUS_CONN,59.0,好,朱莉得了感冒。她喝了一口用来止咳的药水。但是，她的喉咙痛还是马上好了很多。,59,0,1
59,PLAUS_CONN,60.0,脏,学龄前儿童在美术课上使用过粘土。他们在衣服外穿围裙。但是，后来，他们的衣服还是被弄脏了。,60,1,1
60,PLAUS_NOCONN,61.0,解雇,该员工已经在这个公司工作多年。他因为吸毒被抓。他因此被公司解除了聘用。,61,1,0
61,IMPLAUS_NOCONN,62.0,火,黄超是一位流行歌星，很有野心。没有人喜欢他的新歌。它在全世界都受欢迎极了。,62,0,0
62,IMPLAUS_CONN,63.0,苍老,那个人五十岁有余。他的皮肤既粗糙不平又暗淡无光。但是，他还是显得苍老而虚弱。,63,0,1
63,PLAUS_CONN,64.0,不满意,刘颖想染头发。理发师把她的头发染得很好。但是，她对于头发感到不满意极了。,64,1,1
64,PLAUS_NOCONN,65.0,紧张,周丽晚上下班回家。有一个陌生人跟在她身后。一路上她因被尾随感到紧张极了。,65,1,0
65,IMPLAUS_NOCONN,66.0,肌肉发达,张伟开始变得懒惰起来。他停止在健身房练习举重。那年冬天他的肌肉变得发达了许多。,66,0,0
66,IMPLAUS_CONN,67.0,流血,刘维一直使用安全剃须刀。他今天早上用得很马虎。但是，随后他的脸还是流血不断。,67,0,1
67,PLAUS_CONN,68.0,气喘,朱怡加快速度，最后成功赶上了公交车。她经常锻炼身体。但是，她还是累的喘不上来气了。,68,1,1
68,PLAUS_NOCONN,69.0,赢,主队只需再赢一分就可以获胜。球员最后一秒罚进了球。他们最终赢得了这场比赛。,69,1,0
69,IMPLAUS_NOCONN,70.0,获释,死囚对判决提出上诉。该案没有取得新的证据。诉讼结束后，他被释放了。,70,0,0
70,IMPLAUS_CONN,71.0,吐,小孩的妈妈给他一些酸奶当零食。他觉得味道很恶心。但是，他还是把它吐了出来。,71,0,1
71,PLAUS_CONN,72.0,精力充沛,马俊昨晚只睡了两个小时。今天早上他没空喝咖啡。但是，他在工作中还是精力充沛极了。,72,1,1
72,PLAUS_NOCONN,73.0,冷,马丽忘了带冬衣去东北旅行。那里的温度几乎将至冰点。她整个人冷得一直打哆嗦。,73,1,0
73,IMPLAUS_NOCONN,74.0,不舒服,周娜办公室里的每个人感冒康复了。周二下班后她鼻子通畅。第二天她感觉很不舒服，呆在家里。,74,0,0
74,IMPLAUS_CONN,75.0,小费,一个在街头卖艺的人正在拉小提琴。它的音调完美，听起来很优美。但是，路过的人还是把小费给他。,75,0,1
75,PLAUS_CONN,76.0,兴奋,如果刘琳不喝早上的咖啡，她通常会困。她今早没喝。但是，会议期间，她还是兴奋极了。,76,1,1
76,PLAUS_NOCONN,77.0,迟到,马鑫没有赶上他的公交车。他不得不步行去公司上班。他开会的时候来迟了。,77,1,0
77,IMPLAUS_NOCONN,78.0,失业,王翰正忙着申请工作。他能胜任其中大多数职位。他没有工作已经一年多的时间了。,78,0,0
78,IMPLAUS_CONN,79.0,炸薯条,潘帅喜欢吃不健康的食物。他不喜欢健康饮食。但是，他还是经常把薯条作为午餐。,79,0,1
79,PLAUS_CONN,80.0,缩水,陈丽对她的羊毛衫非常小心。她把它带到干洗店。但是，毛衣还是缩水了很多。,80,1,1
80,PLAUS_NOCONN,81.0,煮过头,李涵正在用牛排做晚餐。她在高温下烤了一个多小时。它们煮过头了，而且还是很硬。,81,1,0
81,IMPLAUS_NOCONN,82.0,漂亮,周霞去了一间理发店做头发。造型师犯了一个可怕的错误。她从店里离开时看起来漂亮极了。,82,0,0
82,IMPLAUS_CONN,83.0,棒,马燕正在举办舞会。她整天都在打扫和擦亮房子。但是，聚会期间房子还是棒极了。,83,0,1
83,PLAUS_CONN,84.0,接受,李斌向一家期刊发了一篇论文。评论者给出了负面评价。但是，该论文还是被接受发表。,84,1,1
84,PLAUS_NOCONN,85.0,无聊,刘威度过了一个很不快的假期。他在家和父母待了一个星期。他每天都觉得这样无聊极了。,85,1,0
85,IMPLAUS_NOCONN,86.0,甜,赵军在咖啡馆喝咖啡。他点了纯咖啡，没有牛奶或糖。他觉得这杯咖啡太甜了。,86,0,0
86,IMPLAUS_CONN,87.0,淹,那人正试图游过宽阔的河流。水又深又急。但是，他在渡河成功前还是淹死了。,87,0,1
87,PLAUS_CONN,88.0,更清晰,李莎需要一副新眼镜。她的眼科医生给了她错误的处方。但是，新眼镜让一切更清晰了。,88,1,1
88,PLAUS_NOCONN,89.0,冲澡,黄珊跑了很长时间。她感觉真的很热，全身都是汗。回到家后，她在浴室里冲澡了。,89,1,0
89,IMPLAUS_NOCONN,90.0,留校,王维喜欢讨好他的老师。他在课堂上表现得非常好。他被校长留在了学校。,90,0,0
90,IMPLAUS_CONN,91.0,释放,被告人辩护说自己是无辜的。陪审团最终认定他无罪。但是，第二天他还是被释放了。,91,0,1
91,PLAUS_CONN,92.0,满意,魔术师正在进行魔术表演。他的兔子魔术表演失败。但是，每个人还是对表演感到满意极了。,92,1,1
92,PLAUS_NOCONN,93.0,管教,王强被禁止观看暴力节目。他看了一场射击游戏。他被父母严厉地管教了。,93,1,0
93,IMPLAUS_NOCONN,94.0,晒伤,张雪的皮肤总是被太阳晒。她在海滩上涂了防晒霜。她在星期一时被晒伤了。,94,0,0
94,IMPLAUS_CONN,95.0,死,这名士兵的胸部被子弹打中了。附近没有医生给他治疗。但是，几分钟过后他还是死了。,95,0,1
95,PLAUS_CONN,96.0,不清楚,刘梅用手机打她父亲电话。她的信号很好。但是，她父亲的声音还是不清楚极了。,96,1,1
96,PLAUS_NOCONN,97.0,袭击,该地区由暴徒控制。店主拒绝把钱还给暴徒。他的商店当晚遭到暴徒的袭击了。,97,1,0
97,IMPLAUS_NOCONN,98.0,禁赛,这位运动员从未服用过任何类固醇。测试表明他是阴性的。奥委将禁止他在十年内参赛。,98,0,0
98,IMPLAUS_CONN,99.0,沮丧,科学家认为他发现了一颗新行星。计算机分析显示他错了。但是，他还是沮丧极了。,99,0,1
99,PLAUS_CONN,100.0,辞,关于州长腐败的谣言一直在流传。检察官宣布他无不当行为。但是，州长还是辞去了他的职位。,100,1,1
100,PLAUS_NOCONN,101.0,烧,刘艳把蛋糕放进烤箱烘烤。蛋糕被烤了半个小时。蛋糕在烤箱里被烧焦了。,101,1,0
101,IMPLAUS_NOCONN,102.0,投诉,王菲喜欢在公寓里拉小提琴。邻居认为声音非常舒缓。他们向房东投诉她声音很大。,102,0,0
102,IMPLAUS_CONN,103.0,不安全,榆树街大桥已有超过一百年的历史。地基最近遭到破坏。但是，国家检查员还是认为它不安全，不能用。,103,0,1
103,PLAUS_CONN,104.0,通过,驾驶考官非常严格。他注意到张军犯了几个错误。但是，张军那天还是通过了考试。,104,1,1
104,PLAUS_NOCONN,105.0,前面的,张美是古典音乐的忠实粉丝。她买了周五音乐会最贵的门票。她坐在音乐厅前面的座位。,105,1,0
105,IMPLAUS_NOCONN,106.0,拦住,警车停在路边。他的雷达发现这辆车遵守限速。警察示意，把司机拦了下来。,106,0,0
106,IMPLAUS_CONN,107.0,皱,马英逐渐变得衰老。她的抗衰老霜对于她来说毫无用处。但是，她的脸还是又皱又干。,107,0,1
107,PLAUS_CONN,108.0,筋疲力尽,婴儿被放在她的婴儿床上睡觉。晚上她非常安静。但是，第二天早上，父母还是很累，很暴躁。,108,1,1
108,PLAUS_NOCONN,109.0,骑车,刘强的自行车发出吱吱声。他能够在自己的地下室修复它。那天下午他骑车兜了一圈。,109,1,0
109,IMPLAUS_NOCONN,110.0,墨镜,马腾要离开大楼去吃午饭了。户外多云，很冷。他在门口戴上了墨镜来遮阳。,110,0,0
110,IMPLAUS_CONN,111.0,淹没,飓风袭击了小岛。随着海平面逐渐上升，堤坝开始破裂。但是，街道还是被洪水淹没了好几天。,111,0,1
111,PLAUS_CONN,112.0,拥堵,天气预报显示假期天气恶劣。许多人决定在家而不是旅行。但是，高速公路还是拥堵了数英里。,112,1,1
112,PLAUS_NOCONN,113.0,撤离,沿海城市的居民听了飓风的报告。风暴将在他们的城市登陆。他们听从别人的建议立即撤离当地。,113,1,0
113,IMPLAUS_NOCONN,114.0,撞,张明小心在暴风雪中驾驶。这辆车在湿滑的道路上平稳行驶。她撞到了一棵树。,114,0,0
114,IMPLAUS_CONN,115.0,咳嗽,那人整个晚上都在外面呆着。他得了重感冒。但是，第二天早上，他还是又咳嗽又流涕。,115,0,1
115,PLAUS_CONN,116.0,抱怨,飞机正在滑行到跑道上。这是将在下一个起飞的航班。但是，乘客们的抱怨声还是一声接一声。,116,1,1
116,PLAUS_NOCONN,117.0,住院,老妇人走下布满雪的台阶。她不小心摔倒了，摔坏了臀部。她在医院住了一段时间。,117,1,0
117,IMPLAUS_NOCONN,118.0,满意,通灵者声称看到了未来。当地报纸宣布她是个骗子。客户对她的建议感到满意极了。,118,0,0
118,IMPLAUS_CONN,119.0,威士忌,胡刚和他的朋友去了一家酒吧。他想喝一杯。但是，他还是点了一杯威士忌和苏打水。,119,0,1
119,PLAUS_CONN,120.0,高,司机那天晚上没有饮酒。警察对他进行了酒精测试。但是，司机的血液里酒精还是高于限定值。,120,1,1
120,PLAUS_NOCONN,121.0,莫西干头,少女去理发店做头发。她想要一些另类的感觉。她还是理了个莫西干头彰显个性。,121,1,0
121,IMPLAUS_NOCONN,122.0,鼻青脸肿,男孩们正陷入争论。他们经过争论最终达成协议。第二天他们鼻青脸肿地来学校上学。,122,0,0
122,IMPLAUS_CONN,123.0,三明治,方强不吃早餐和午餐。他从学校饿着肚子回到家。但是，他在厨房里吃了一个三明治充饥。,123,0,1
123,PLAUS_CONN,124.0,高,游客们都不想遇到这个导游。他的顾客非常少。但是，每年夏天他还是有很高的收入。,124,1,1
124,PLAUS_NOCONN,125.0,割,厨师正在忙着切一些蔬菜。他用刀很马虎。他被刀割伤了手指。,125,1,0
125,IMPLAUS_NOCONN,126.0,迷路,游客想回到他的旅馆。他现在已经很清楚这条路了。他在街上找不到路了。,126,0,0
126,IMPLAUS_CONN,127.0,否决,国会已将该法案送交总统批准。他认为这个主意不好。但是，他还是否决了这项措施。,127,0,1
127,PLAUS_CONN,128.0,加入,周帅参加了喜剧团的试演。他的台词都含糊不清，清晰易懂。但是，导演还是让他加入这个团队。,128,1,1
128,PLAUS_NOCONN,129.0,开车,周帅没在聚会上喝酒。他是他朋友中唯一一个清醒的。他最终开车送大家回家。,129,1,0
129,IMPLAUS_NOCONN,130.0,欢欣鼓舞,一个很有诡计的恶棍谋杀了国王。老国王很受臣民的欢迎。人们在街上欢欣鼓舞起来了。,130,0,0
130,IMPLAUS_CONN,131.0,吓,该建筑物里的人因炸弹威胁被疏散。员工被告知情况危急。但是，每个人还是被这个消息吓坏了。,131,0,1
131,PLAUS_CONN,132.0,饿,刘波遵守了宗教节日的规定。他在筵席上大吃一通。但是，之后他还是饿着要吃三明治。,132,1,1
132,PLAUS_NOCONN,133.0,专业,那个女人在婚礼前没有跳过舞。她上了几个月的课。她在招待会上专业地跳舞。,133,1,0
133,IMPLAUS_NOCONN,134.0,退还,王磊买了新酒杯。收到包裹时，她感到很满意。她立即把它们退了回去。,134,0,0
134,IMPLAUS_CONN,135.0,平静,那个男婴在哭。他的母亲走过来轻轻地摇晃着他。但是，他还是很快就平静了下来。,135,0,1
135,PLAUS_CONN,136.0,停课,刘欣正在听收音机。昨晚的暴风雨只留下了一层薄薄的雪尘。但是，那天学校还是因此暂停上课。,136,1,1
136,PLAUS_NOCONN,137.0,高兴,厨房的墙纸褪色剥落了。赵妮用一种好看的新图案取代它。她看到墙壁以后感到高兴极了。,137,1,0
137,IMPLAUS_NOCONN,138.0,定罪,张华对她的案子充满希望。她的律师有证据证明她是无辜的。她被陪审团定罪了。,138,0,0
138,IMPLAUS_CONN,139.0,富有,赵建起诉那个医生渎职。他最终因此获得了损害赔偿。但是，由于这个案子，他还是变富了。,139,0,1
139,PLAUS_CONN,140.0,找出,家里曾有人闯入。小偷没有留下任何作案痕迹。但是，警方还是非常轻松地找出了他。,140,1,1
140,PLAUS_NOCONN,141.0,红,少年正在做演讲。他是一个非常害羞的人。他在提问期间脸红透了。,141,1,0
141,IMPLAUS_NOCONN,142.0,酸痛,黄丽完成了足球赛季。她得到了按摩来庆祝。第二天她全身都感到酸痛极了。,142,0,0
142,IMPLAUS_CONN,143.0,户外,那是春天的第一天。太阳很好，阳光很温暖。但是，那天孩子们还是在户外休息。,143,0,1
143,PLAUS_CONN,144.0,退还,张艳决定退回她去年买的鞋子。他们都很破旧，她把收据弄丢了。但是，商店还是把钱退给了她。,144,1,1
144,PLAUS_NOCONN,145.0,安全,公寓大楼位于住宅区的一个高档小区。警察定期在这里巡逻。居民们觉得住在那里安全极了。,145,1,0
145,IMPLAUS_NOCONN,146.0,取消,首席执行官已安排与加州分公司经理会面，在加州搭了早班飞机。会议被取消并重新安排了。,146,0,0
146,IMPLAUS_CONN,147.0,担心,为了成为律师，李鑫需通过考试。他刚刚在四月份的考试中失败了。但是，他还是担心自己的职业生涯。,147,0,1
147,PLAUS_CONN,148.0,车辆,张丹住在一个安静的郊区。她卧室的窗户面向森林。但是，晚上她还是听到车辆经过的声音。,148,1,1
148,PLAUS_NOCONN,149.0,失败,参议院正在辩论总统的新法案。大多数国会议员不喜欢它。该法案于星期五的时候失败了。,149,1,0
149,IMPLAUS_NOCONN,150.0,独一无二,项链是古代凯尔特珠宝的风格。它们都是以相同的技术批量生产的。每件作品都独特且珍贵。,150,0,0
150,IMPLAUS_CONN,151.0,新闻,周帅是一位高级政治家。他总是在家里工作到很晚。但是，他还是总收看新闻频道。,151,0,1
151,PLAUS_CONN,152.0,睡,主管整天在办公室工作。他的医生敦促他多做运动。但是，他还是决定每天睡久一些。,152,1,1
152,PLAUS_NOCONN,153.0,容易,赵强天生有数学天赋。今天上课时，教授仔细地解释了一个新概念。周帅觉得这个概念非常容易理解。,153,1,0
153,IMPLAUS_NOCONN,154.0,绑架,参议员带着保镖出国旅行。他们在一个非常安全的区域。她被两名罪犯绑架走了。,154,0,0
154,IMPLAUS_CONN,155.0,烧,餐厅的厨房发生了危险的火灾。消防车来得太晚了。但是，大多数顾客还是被烧死了。,155,0,1
155,PLAUS_CONN,156.0,不走运,孙玲排队去看新电影。她买了最后一张票。但是，她还是觉得很不走运，回家了。,156,1,1
156,PLAUS_NOCONN,157.0,牡蛎,刘梅和她的丈夫去海鲜餐厅吃饭。她喜欢贝类。她点了牡蛎当晚餐的食物。,157,1,0
157,IMPLAUS_NOCONN,158.0,迟,马强的论文将于周三到期。他在到期前几天完成了论文。他给老师的论文上交迟了。,158,0,0
158,IMPLAUS_CONN,159.0,瘦,赵宇是一位高级时装模特。他每天都在节食。但是，他还是瘦得像铁轨。,159,0,1
159,PLAUS_CONN,160.0,接受,林芳对目前的工作很满意。另一家公司试图招聘她，但薪水较低。但是，她还是接受了他们的邀请。,160,1,1
160,PLAUS_NOCONN,161.0,专业,胡刚穿了一套新西装去接受采访。他配上了一条漂亮的领带。他在接受采访时看起来专业极了。,161,1,0
161,IMPLAUS_NOCONN,162.0,舒服,张杰和其他五个朋友去旅行。他们为这次旅行租了一辆小汽车。他们在旅行时开车感到舒服极了。,162,0,0
162,IMPLAUS_CONN,163.0,摔,胡爽以前没有骑过这匹胆小的马。马意外地站了起来。但是，她还是摔倒在了地上。,163,0,1
163,PLAUS_CONN,164.0,昂贵,赵敏遇到了财务问题。她每个月的预算都非常谨慎。但是，那一年她送给朋友的礼物还是贵极了。,164,1,1
164,PLAUS_NOCONN,165.0,高兴,张倩在圣诞节要了一辆自行车。她的父母给她买了一辆。她有了自行车感到高兴极了。,165,1,0
165,IMPLAUS_NOCONN,166.0,成功,刘国不得不让外科医生连接肌腱。手术中出现了一些致命的并发症。当天他的手术获得成功了。,166,0,0
166,IMPLAUS_CONN,167.0,批评,市长在这个城市非常不受欢迎。他收到了很多投诉信。但是，他还是总是被批评包围。,167,0,1
167,PLAUS_CONN,168.0,斜坡,李娜第一次去滑雪时摔倒了。她发誓再也不这样做了。但是，这些天她还是尽可能去斜坡滑雪。,168,1,1
168,PLAUS_NOCONN,169.0,乱,王依很少打扫她的房子。她家里有两个小孩。她的厨房总是看起来乱极了。,169,1,0
169,IMPLAUS_NOCONN,170.0,输,球队在世界杯比赛。他们在最后几秒领先几分。那一年他们还是输了比赛。,170,0,0
170,IMPLAUS_CONN,171.0,警察,房主刚搬进来。他在车库外面看到了一些可疑的人。但是，他还是把警察叫了过来。,171,0,1
171,PLAUS_CONN,172.0,停止,厨房的屋顶漏水了。整个星期，雨下得越来越大。但是，滴水还是很快就停止了。,172,1,1
172,PLAUS_NOCONN,173.0,适合,赵凯的朋友邀请他参加足球训练派对。赵凯穿着足球服参加。每个人都认为他的服装适合这个场合。,173,1,0
173,IMPLAUS_NOCONN,174.0,聚会,王博不爱社交。他下班后总是呆在家里。他每个周末都在某地聚会玩乐。,174,0,0
174,IMPLAUS_CONN,175.0,烦人,王妮有三条狗。它们非常不听话，很让人麻烦。但是，她还是总说他们烦人极了。,175,0,1
175,PLAUS_CONN,176.0,止痛药,周洁在牙医那里清洁了牙齿。之后她的嘴巴感觉很好。但是，医生还是开了一些止痛药给她吃。,176,1,1
176,PLAUS_NOCONN,177.0,玫瑰,李浩打算在情人节见他的女朋友。他知道她喜欢花。他给她买了玫瑰表达爱意。,177,1,0
177,IMPLAUS_NOCONN,178.0,画廊,王博对艺术没有耐心。他最大的爱好是做运动。他大部分时间都在画廊和艺术馆度过。,178,0,0
178,IMPLAUS_CONN,179.0,跑步,赵杰称体重发现他超重。医生建议他多运动。但是，他还是几乎每天都跑步锻炼。,179,0,1
179,PLAUS_CONN,180.0,干,刘姗去沙漠远足了。她在脸上涂了很多保湿乳液。但是，后来她的皮肤还是干得裂开。,180,1,1
